SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,playoffsBool,GP,WINS,LOSSES,WIN_PCT,PO_WINS,PO_LOSSES,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS
1986,1610612758,Sacramento,Kings,West,22-38,10,0,82,29,53,0.354,0,0,43.0,90.4,0.475,0.9,3.7,0.251,24.1,30.2,0.796,15.6,29.8,45.4,26.6,24.5,6.3,17.1,4.8,110.9
1986,1610612759,San Antonio,Spurs,West,20-40,11,0,82,28,54,0.341,0,0,43.1,90.9,0.474,1.4,4.9,0.29,20.7,28.0,0.742,15.7,28.6,44.3,27.1,23.5,9.6,17.1,4.0,108.3
1986,1610612746,Los Angeles,Clippers,West,11-49,12,0,82,12,70,0.146,0,0,40.4,89.4,0.452,1.0,4.2,0.224,22.8,30.7,0.742,15.0,26.1,41.1,24.0,24.4,9.2,18.2,5.3,104.5
1987,1610612738,Boston,Celtics,East,39-19,1,1,82,57,25,0.695,9,8,43.9,84.2,0.521,3.3,8.6,0.384,22.5,28.0,0.803,11.3,29.8,41.1,29.9,22.0,7.6,15.9,5.1,113.6
1987,1610612747,Los Angeles,Lakers,West,46-14,1,1,82,62,20,0.756,15,9,43.6,86.3,0.505,1.7,5.8,0.297,23.9,30.2,0.789,13.1,30.4,43.5,28.6,20.9,8.2,16.1,4.9,112.8
1987,1610612765,Detroit,Pistons,East,39-19,2,1,82,54,28,0.659,14,9,42.2,85.6,0.493,0.7,2.5,0.287,24.1,31.9,0.757,14.4,30.3,44.7,24.5,23.9,7.2,16.4,4.8,109.2
1987,1610612743,Denver,Nuggets,West,39-21,2,1,82,54,28,0.659,5,6,46.0,97.1,0.474,2.3,6.9,0.342,22.5,27.9,0.804,14.2,29.8,44.0,28.0,24.2,10.1,14.5,4.9,116.7
1987,1610612757,Portland,Trail Blazers,West,39-21,3,1,82,53,29,0.646,1,3,44.6,91.0,0.491,1.4,4.6,0.308,25.4,32.9,0.77,15.3,30.4,45.6,28.1,25.5,8.9,16.5,4.2,116.1
1987,1610612737,Atlanta,Hawks,East,35-23,3,1,82,50,32,0.61,6,6,42.0,86.6,0.485,1.0,3.4,0.301,22.8,29.8,0.767,15.0,29.0,44.0,25.1,25.0,7.7,14.9,6.5,107.9
1987,1610612741,Chicago,Bulls,East,34-24,3,1,82,50,32,0.61,4,6,41.9,85.5,0.49,0.7,3.0,0.23,20.5,27.1,0.759,14.3,30.0,44.3,26.2,22.5,8.7,15.4,5.8,105.0
1987,1610612742,Dallas,Mavericks,West,41-19,3,1,82,53,29,0.646,10,7,41.6,87.7,0.475,1.9,6.4,0.293,24.1,30.6,0.789,16.4,30.4,46.8,24.2,21.1,7.9,15.3,5.4,109.3
1987,1610612749,Milwaukee,Bucks,East,28-30,5,1,82,42,40,0.512,2,3,41.0,86.3,0.475,1.6,5.0,0.324,22.3,28.8,0.775,13.6,28.5,42.1,26.8,24.3,8.2,15.5,4.6,106.1
1987,1610612739,Cleveland,Cavaliers,East,30-28,5,1,82,42,40,0.512,2,3,40.4,82.4,0.49,1.5,4.1,0.378,22.1,29.7,0.744,12.4,27.9,40.3,25.2,22.4,8.9,17.5,6.4,104.5
1987,1610612762,Utah,Jazz,West,38-22,5,1,82,47,35,0.573,6,5,42.5,86.5,0.491,1.6,4.9,0.319,22.0,29.3,0.75,13.0,31.1,44.1,29.4,24.2,9.4,18.1,7.6,108.5
1987,1610612745,Houston,Rockets,West,33-27,6,1,82,46,36,0.561,1,3,42.3,89.7,0.471,0.8,3.5,0.237,23.6,30.3,0.78,15.1,30.9,46.0,23.6,22.7,8.7,16.7,6.1,109.0
1987,1610612752,New York,Knicks,East,27-31,7,1,82,38,44,0.463,1,3,41.0,88.2,0.465,2.2,6.9,0.316,21.3,28.1,0.759,15.7,26.8,42.4,24.5,28.8,9.6,18.5,5.4,105.5
1987,1610612754,Indiana,Pacers,East,25-33,7,1,82,38,44,0.463,0,0,41.9,87.2,0.48,2.0,5.9,0.336,18.9,24.2,0.78,13.1,30.0,43.1,24.1,24.9,7.5,16.1,4.2,104.6
1987,1610612760,Seattle,SuperSonics,West,31-29,7,1,82,44,38,0.537,2,3,43.2,90.8,0.476,2.7,7.8,0.346,22.3,29.8,0.748,16.0,28.2,44.2,26.2,29.0,9.5,16.8,5.5,111.4
1987,1610612764,Washington,Bullets,East,26-32,7,1,82,38,44,0.463,2,3,40.9,87.4,0.468,0.4,1.7,0.21,23.3,30.2,0.773,15.0,28.0,43.0,22.9,23.4,8.5,16.9,6.1,105.5
1987,1610612759,San Antonio,Spurs,West,25-35,8,1,82,31,51,0.378,0,3,45.2,92.2,0.49,1.6,5.0,0.323,21.6,29.4,0.733,14.4,28.5,42.9,28.6,24.3,9.0,17.3,5.7,113.6
1987,1610612756,Phoenix,Suns,West,21-39,9,0,82,28,54,0.341,0,0,43.3,89.0,0.486,1.4,4.4,0.331,20.5,26.8,0.764,13.6,29.0,42.6,28.4,24.9,8.2,17.2,4.3,108.5
1987,1610612755,Philadelphia,76ers,East,25-33,10,0,82,36,46,0.439,0,0,39.2,82.7,0.474,1.9,5.7,0.323,25.5,33.3,0.764,14.9,28.1,43.0,23.1,22.8,8.2,17.5,5.7,105.7
1987,1610612758,Sacramento,Kings,West,19-41,10,0,82,24,58,0.293,0,0,42.2,89.5,0.471,1.8,5.5,0.32,21.9,28.3,0.772,15.0,30.0,45.0,25.8,23.1,7.1,17.8,6.0,108.0
1987,1610612744,Golden State,Warriors,West,15-45,11,0,82,20,62,0.244,0,0,42.2,90.3,0.468,1.1,3.8,0.292,21.4,26.9,0.796,13.9,27.5,41.4,24.5,26.3,9.0,17.0,3.5,107.0
1987,1610612751,New Jersey,Nets,East,11-47,11,0,82,19,63,0.232,0,0,39.1,83.6,0.468,1.7,5.5,0.301,20.5,28.1,0.729,13.1,27.6,40.7,21.9,24.9,8.9,18.3,4.7,100.4
1987,1610612746,Los Angeles,Clippers,West,13-47,12,0,82,17,65,0.207,0,0,38.9,87.7,0.443,1.0,3.9,0.249,20.0,28.1,0.713,14.5,28.7,43.2,23.0,23.3,8.8,18.7,6.3,98.8
